Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
50,Kawhi Leonard,33,LAC,SF,7,7,265,24.3,0.63,0.301,0.293,4.8,19,11.8,20.9,1.6,1.6,9.8,26.9,0.8,0.2,1,0.184,5,2.1,7,0.6,,leonaka01
51,Jrue Holiday,34,BOS,PG,8,8,264,10.8,0.578,0.433,0.217,5.3,8.6,7,18.7,1.4,0.3,19.6,14.1,0.2,0.3,0.6,0.1,-1.6,1.5,-0.1,0.1,,holidjr01
52,Jarrett Allen,26,CLE,C,9,9,261,22.4,0.792,0,0.574,8.8,24.9,16.6,6.7,2.5,3.1,18.2,15.3,0.8,0.4,1.3,0.238,2.4,2.2,4.7,0.4,,allenja01
53,Evan Mobley,23,CLE,PF,8,8,257,22.7,0.699,0.356,0.287,9,20.2,14.4,7.7,1.7,3.2,10.1,18.2,0.9,0.4,1.2,0.232,4.7,0.9,5.7,0.5,,mobleev01
54,Alperen Şengün,22,HOU,C,7,7,256,20.8,0.491,0.061,0.305,9.2,26.5,18,27,2.6,1.3,9.2,28.3,0.3,0.4,0.7,0.138,2.3,2.4,4.7,0.4,,sengual01
55,Ivica Zubac,27,LAC,C,7,7,256,20.9,0.653,0,0.317,12.2,20.6,16.3,9.9,1,2.4,10.5,18.9,0.7,0.2,0.9,0.169,1.4,0.7,2.1,0.3,,zubaciv01
56,Max Strus,28,CLE,SF,9,9,253,16.2,0.573,0.753,0.067,7,16.3,11.5,19.6,1.2,0.8,7.1,16.7,0.7,0.3,0.9,0.176,3.2,1,4.2,0.4,,strusma01
57,Aaron Wiggins,26,OKC,SG,19,0,250,12.6,0.515,0.548,0.125,6.1,12.3,9.1,10.9,1.7,1.6,10.6,20.8,0,0.4,0.4,0.079,-0.1,0.8,0.7,0.2,,wiggiaa01
58,Ben Sheppard,23,IND,SG,18,0,250,6.5,0.67,0.767,0.093,3,10.1,6.8,3.6,1.2,0.4,16.7,9.6,0.1,0.1,0.3,0.052,-2.8,0.3,-2.5,0,,sheppbe01
59,Cade Cunningham,23,DET,PG,6,6,248,17.4,0.509,0.217,0.326,2.9,19.6,11.5,37.9,2.2,2.7,17.8,31.2,-0.1,0.4,0.3,0.06,1.1,2,3.1,0.3,,cunnica01
